A0A075B6H9	Immunoglobulin lambda variable 4-69
A0A1B0GTY4	Testis-expressed protein 50
A0A1B0GTZ2	Putative coiled-coil domain-containing protein 196
A0A1B0GU29	Small integral membrane protein 28
A0A1B0GU33	Testis-expressed protein 53
A0A1B0GUA5	Small integral membrane protein 32
A0A1B0GUA6	Putative coiled-coil domain-containing protein 195
A0A1B0GUA7	Testis-expressed protein 51
A0A1B0GUC4	Myocilin opposite strand protein
A0A1B0GUI7	Putative uncharacterized protein BRD3OS
A0A1B0GUJ8	Paraneoplastic antigen-like protein 8C
A0A1B0GUQ0	Protein FAM236A
A0A1B0GUS0	Uncharacterized protein C19orf85
A0A1B0GUS4	Ubiquitin-conjugating enzyme E2 L5
A0A1B0GUT2	Uncharacterized protein C10orf143
A0A1B0GUU1	Transmembrane protein C17orf113
A0A1B0GUV7	Testis-expressed protein 48
A0A1B0GUW6	Uncharacterized protein SPEM3
A0A1B0GUW7	Small integral membrane protein 27
A0A1B0GUY1	MARCO-like protein
A0A1B0GV03	Golgin subfamily A member 6-like protein 7
A0A1B0GV22	Protein FAM236B
A0A1B0GV85	Reelin domain-containing protein 1
A0A1B0GV90	Cortexin domain containing 2
A0A1B0GVG4	Coiled-coil domain-containing protein 194
A0A1B0GVG6	Testis-expressed protein 54
A0A1B0GVH4	Serine protease-like protein 51
A0A1B0GVH6	Uncharacterized protein C13orf42
A0A1B0GVH7	IQ domain-containing protein M
A0A1B0GVK7	Protein FAM240A
A0A1B0GVM6	Uncharacterized protein C11orf97
A0A1B0GVN3	Uncharacterized protein C2orf92
A0A1B0GVQ0	Small regulatory polypeptide of amino acid response
A0A1B0GVS7	MyoD family inhibitor domain-containing protein 2
A0A1B0GVT2	Small integral membrane protein 36
A0A1B0GVV1	Small integral membrane protein 35
A0A1B0GVY4	Small integral membrane protein 31
A0A1B0GVZ2	Protein FAM240B
A0A1B0GVZ6	Methyl-CpG-binding domain protein 3-like 2B
A0A1B0GVZ9	Transmembrane protein 269
A0A1B0GW35	Exocyst complex component 1-like
A0A1B0GW64	Small integral membrane protein 33
A0A1B0GWB2	Proline rich transmembrane protein 1B
A0A1B0GWG4	Serine-rich and transmembrane domain-containing 2
A0A1B0GWH4	Heat shock transcription factor, X-linked member 3
A0A1B0GWK0	Parvalbumin-like EF-hand-containing protein
A0A1B0GX31	T cell receptor beta variable 7-6
A0A1B0GX49	T cell receptor beta variable 6-4
A0A1B0GX51	T cell receptor beta variable 7-8
A0A1B0GX68	T cell receptor beta variable 2
A0A1B0GX78	T cell receptor beta variable 12-5
A0A1B0GX95	T cell receptor beta variable 7-4
A0A1B0GXF2	T cell receptor beta variable 7-2
A0A1W2PPG7	Putative guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-14
A0A1W2PR19	Glutathione S-transferase theta-4
A0A1W2PR48	Transducin-like enhancer protein 7
A0A1W2PS18	Transmembrane protein PMIS2
A0A286YF58	Transmembrane protein 271
A0A539	T cell receptor beta variable 4-2
A0A576	T cell receptor beta variable 3-1
A0A577	T cell receptor beta variable 4-1
A0A578	T cell receptor beta variable 5-1
A0A584	T cell receptor beta variable 11-2
A0A589	T cell receptor beta variable 4-3
A0A597	T cell receptor beta variable 5-5
A0A599	T cell receptor beta variable 5-6
A0A5A2	T cell receptor beta variable 5-8
A0A5A6	T cell receptor beta variable 11-3
A0A5B0	T cell receptor beta variable 14
A0A5B9	T-cell receptor beta-2 chain C region
A0AUZ9	KAT8 regulatory NSL complex subunit 1-like protein
A0AV02	Solute carrier family 12 member 8
A0AV96	RNA-binding protein 47
A0AVF1	Intraflagellar transport protein 56
A0AVI2	Fer-1-like protein 5
A0AVI4	E3 ubiquitin-protein ligase TM129
A0AVK6	Transcription factor E2F8
A0AVT1	Ubiquitin-like modifier-activating enzyme 6
A0FGR8	Extended synaptotagmin-2
A0FGR9	Extended synaptotagmin-3
A0JD32	T cell receptor alpha variable 38-2/delta variable 8
A0JLT2	Mediator of RNA polymerase II transcription subunit 19
A0JNW5	UHRF1-binding protein 1-like
A0JP26	POTE ankyrin domain family member B3
A0M8Q6	Immunoglobulin lambda constant 7
A0MZ66	Shootin-1
A0PG75	Phospholipid scramblase family member 5
A0PJE2	Dehydrogenase/reductase SDR family member 12
A0PJK1	Sodium/glucose cotransporter 5
A0PJW6	Transmembrane protein 223
A0PJW8	Death-associated protein-like 1
A0PJX0	Calcium and integrin-binding family member 4
A0PJX2	TLD domain-containing protein 2
A0PJX4	Protein shisa-3 homolog
A0PJX8	Transmembrane protein 82
A0PJY2	Fez family zinc finger protein 1
A0PJZ0	Putative ankyrin repeat domain-containing protein 20A5
A0PJZ3	Glucoside xylosyltransferase 2
A0PK00	Transmembrane protein 120B
A0PK05	Transmembrane protein 72
A0PK11	Clarin-2
A0ZSE6	Cell cycle control protein 50C
A1A4F0	Putative uncharacterized protein PQLC2L
A1A4G5	Leukemia NUP98 fusion partner 1
A1A4S6	Rho GTPase-activating protein 10
A1A4V9	Coiled-coil domain-containing protein 189
A1A4Y4	Immunity-related GTPase family M protein
A1A519	Protein FAM170A
A1A580	Keratin-associated protein 23-1
A1A5B4	Anoctamin-9
A1A5C7	Solute carrier family 22 member 23
A1A5D9	BICD family-like cargo adapter 2
A1E959	Odontogenic ameloblast-associated protein
A1IGU5	Rho guanine nucleotide exchange factor 37
A1KXE4	Myelin-associated neurite-outgrowth inhibitor
A1KZ92	Peroxidasin-like protein
A1L020	RNA-binding protein MEX3A
A1L0T0	Acetolactate synthase-like protein
A1L157	Tetraspanin-11
A1L162	Glutamate-rich protein 2
A1L167	Ubiquitin-conjugating enzyme E2Q-like protein 1
A1L168	Uncharacterized protein C20orf202
A1L170	Uncharacterized protein C1orf226
A1L188	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8
A1L190	Synaptonemal complex central element protein 3
A1L1A6	Immunoglobulin superfamily member 23
A1L390	Pleckstrin homology domain-containing family G member 3
A1L3X0	Elongation of very long chain fatty acids protein 7
A1L3X4	Putative metallothionein MT1DP
A1L429	G antigen 12B/C/D/E
A1L443	NUT family member 2F
A1L453	Serine protease 38
A1L4H1	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D
A1L4K1	Fibronectin type III and SPRY domain-containing protein 2
A1L4L8	PLAC8-like protein 1
A1L4Q6	Putative uncharacterized protein FLJ41423
A1X283	SH3 and PX domain-containing protein 2B
A1XBS5	Protein FAM92A
A1YPR0	Zinc finger and BTB domain-containing protein 7C
A1Z1Q3	O-acetyl-ADP-ribose deacetylase MACROD2
A2A288	Probable ribonuclease ZC3H12D
A2A2V5	Serine-rich and transmembrane domain-containing protein 1
A2A2Y4	FERM domain-containing protein 3
A2A2Z9	Ankyrin repeat domain-containing protein 18B
A2A368	Melanoma-associated antigen B16
A2A3K4	Protein tyrosine phosphatase domain-containing protein 1
A2A3L6	Tetratricopeptide repeat protein 24
A2A3N6	Putative PIP5K1A and PSMD4-like protein
A2AJT9	BCLAF1 and THRAP3 family member 3
A2CJ06	Dystrotelin
A2IDD5	Coiled-coil domain-containing protein 78
A2NJV5	Immunoglobulin kappa variable 2-29
A2PYH4	Probable ATP-dependent DNA helicase HFM1
A2RRD8	Zinc finger protein 320
A2RRH5	WD repeat-containing protein 27
A2RRL7	Transmembrane protein 213
A2RRP1	Neuroblastoma-amplified sequence
A2RTX5	Probable threonine--tRNA ligase 2, cytoplasmic
A2RTY3	Protein HEATR9
A2RU14	Transmembrane protein 218
A2RU30	Protein TESPA1
A2RU37	Uncharacterized protein C9orf170
A2RU48	Single-pass membrane and coiled-coil domain-containing protein 3
A2RU49	Hydroxylysine kinase
A2RU54	Homeobox protein HMX2
A2RU67	Protein FAM234B
A2RUB1	Meiosis-specific coiled-coil domain-containing protein MEIOC
A2RUB6	Coiled-coil domain-containing protein 66
A2RUC4	tRNA wybutosine-synthesizing protein 5
A2RUG3	Testis-specific XK-related protein, Y-linked 2
A2RUH7	Myosin-binding protein H-like
A2RUQ5	Uncharacterized protein C17orf102
A2RUR9	Coiled-coil domain-containing protein 144A
A2RUS2	DENN domain-containing protein 3
A2RUT3	Transmembrane protein 89
A2RUU4	Colipase-like protein 1
A2VCK2	Doublecortin domain-containing protein 2B
A2VCL2	Coiled-coil domain-containing protein 162
A2VDF0	Fucose mutarotase
A2VDJ0	Transmembrane protein 131-like
A2VEC9	SCO-spondin
A3KFT3	Olfactory receptor 2M5
A3KMH1	von Willebrand factor A domain-containing protein 8
A3KN83	Protein strawberry notch homolog 1
A3QJZ6	PRAME family member 22
A3QJZ7	PRAME family member 27
A4D0S4	Laminin subunit beta-4
A4D0T2	Uncharacterized protein C7orf66
A4D0T7	Small integral membrane protein 30
A4D0V7	Cadherin-like and PC-esterase domain-containing protein 1
A4D0Y5	Uncharacterized protein C7orf77
A4D126	D-ribitol-5-phosphate cytidylyltransferase
A4D161	Protein FAM221A
A4D174	Putative uncharacterized protein C7orf71
A4D1B5	Gamma-secretase-activating protein
A4D1E1	Zinc finger protein 804B
A4D1E9	GTP-binding protein 10
A4D1F6	Leucine-rich repeat and death domain-containing protein 1
A4D1N5	Putative uncharacterized protein FLJ40288
A4D1P6	WD repeat-containing protein 91
A4D1S0	Killer cell lectin-like receptor subfamily G member 2
A4D1S5	Ras-related protein Rab-19
A4D1T9	Probable inactive serine protease 37
A4D1U4	Protein LCHN
A4D1Z8	Grifin
A4D250	B-cell acute lymphoblastic leukemia-expressed protein
A4D256	Dual specificity protein phosphatase CDC14C
A4D263	Spermatogenesis-associated protein 48
A4D2B0	Metallo-beta-lactamase domain-containing protein 1
A4D2B8	Putative postmeiotic segregation increased 2-like protein 1
A4D2G3	Olfactory receptor 2A25
A4D2H0	cTAGE family member 15
A4D2P6	Delphilin
A4FU01	Myotubularin-related protein 11
A4FU28	cTAGE family member 9
A4FU49	SH3 domain-containing protein 21
A4FU69	EF-hand calcium-binding domain-containing protein 5
A4GXA9	Probable crossover junction endonuclease EME2
A4IF30	Solute carrier family 35 member F4
A4QMS7	Uncharacterized protein C5orf49
A4QN01	Putative uncharacterized protein encoded by LINC01553
A4QPB2	Low-density lipoprotein receptor-related protein 5-like protein
A4QPH2	Putative phosphatidylinositol 4-kinase alpha-like protein P2
A4UGR9	Xin actin-binding repeat-containing protein 2
A5A3E0	POTE ankyrin domain family member F
A5D6W6	Fat storage-inducing transmembrane protein 1
A5D8T8	C-type lectin domain family 18 member A
A5D8V6	Vacuolar protein sorting-associated protein 37C
A5D8V7	Coiled-coil domain-containing protein 151
A5D8W1	Cilia- and flagella-associated protein 69
A5LHX3	Proteasome subunit beta type-11
A5PKW4	PH and SEC7 domain-containing protein 1
A5PL33	Protein KRBA1
A5PLK6	Regulator of G-protein signaling protein-like
A5PLL1	Ankyrin repeat domain-containing protein 34B
A5PLL7	Transmembrane protein 189
A5PLN7	Protein FAM149A
A5PLN9	Trafficking protein particle complex subunit 13
A5X5Y0	5-hydroxytryptamine receptor 3E
A5YKK6	CCR4-NOT transcription complex subunit 1
A5YM69	Rho guanine nucleotide exchange factor 35
A5YM72	Carnosine synthase 1
A6BM72	Multiple epidermal growth factor-like domains protein 11
A6H8M9	Cadherin-related family member 4
A6H8Y1	Transcription factor TFIIIB component B'' homolog
A6H8Z2	Protein FAM221B
A6NC05	Glutaredoxin-like protein C5orf63
A6NC42	Developmental pluripotency-associated 5 protein
A6NC51	Modulator of macroautophagy TMEM150B
A6NC57	Ankyrin repeat domain-containing protein 62
A6NC62	Putative RBAK downstream neighbor protein
A6NC78	Putative golgin subfamily A member 8I
A6NC86	phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein
A6NC97	Putative protein FAM172B
A6NC98	Coiled-coil domain-containing protein 88B
A6NCC3	Golgin subfamily A member 8O
A6NCE7	Microtubule-associated proteins 1A/1B light chain 3 beta 2
A6NCF5	Kelch-like protein 33
A6NCF6	Putative MAGE domain-containing protein MAGEA13P
A6NCI4	von Willebrand factor A domain-containing protein 3A
A6NCI5	Putative transmembrane protein encoded by LINC00862
A6NCI8	Uncharacterized protein C2orf78
A6NCJ1	Uncharacterized protein C19orf71
A6NCK2	Tripartite motif-containing protein 43B
A6NCL1	Geminin coiled-coil domain-containing protein 1
A6NCL2	Leucine-rich colipase-like protein 1
A6NCL7	Ankyrin repeat domain-containing protein 33B
A6NCM1	IQ and AAA domain-containing protein 1-like
A6NCN2	Putative keratin-87 protein
A6NCN8	Testis-expressed protein 52
A6NCQ9	RING finger protein 222
A6NCS4	Homeobox protein Nkx-2.6
A6NCS6	Uncharacterized protein C2orf72
A6NCV1	Olfactory receptor 6C74
A6NCW0	Ubiquitin carboxyl-terminal hydrolase 17-like protein 3
A6NCW3	Putative protein FAM231BP
A6NCW7	Inactive ubiquitin carboxyl-terminal hydrolase 17-like protein 4
A6ND01	Sperm-egg fusion protein Juno
A6ND36	Protein FAM83G
A6ND48	Olfactory receptor 14I1
A6ND91	Putative L-aspartate dehydrogenase
A6NDA9	Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2
A6NDB9	Paralemmin-3
A6NDD5	Synapse differentiation-inducing gene protein 1-like
A6NDE4	RNA-binding motif protein, Y chromosome, family 1 member B
A6NDE8	G antigen 12H
A6NDG6	Glycerol-3-phosphate phosphatase
A6NDH6	Olfactory receptor 5H15
A6NDI0	Putative tripartite motif-containing protein 49B
A6NDK9	Golgin subfamily A member 6C
A6NDL7	Putative methyltransferase-like protein 21E pseudogene
A6NDL8	Olfactory receptor 6C68
A6NDN3	Golgin subfamily A member 6B
A6NDN8	Putative ubiquitin-like protein FUBI-like protein ENSP00000310146
A6NDP7	Myeloid-associated differentiation marker-like protein 2
A6NDR6	Putative homeobox protein Meis3-like 1
A6NDS4	TBC1 domain family member 3B
A6NDU8	UPF0600 protein C5orf51
A6NDV4	Transmembrane protein 8B
A6NDX4	Putative transmembrane protein ENSP00000320207
A6NDX5	Putative zinc finger protein 840
A6NDY0	Embryonic polyadenylate-binding protein 2
A6NDY2	Putative protein FAM90A10P
A6NDZ8	Putative methyl-CpG-binding domain protein 3-like 4
A6NE01	Protein FAM186A
A6NE02	BTB/POZ domain-containing protein 17
A6NE21	Putative protein FAM90A18P/FAM90A19P
A6NE52	WD repeat-containing protein 97
A6NE82	Putative methyl-CpG-binding domain protein 3-like 3
A6NEC2	Puromycin-sensitive aminopeptidase-like protein
A6NED2	RCC1 domain-containing protein 1
A6NEE1	Pleckstrin homology domain-containing family D member 1
A6NEF3	Golgin subfamily A member 6-like protein 4
A6NEH6	Transmembrane protein 247
A6NEH8	Putative uncharacterized protein encoded by ZNF503-AS2
A6NEK1	Arrestin domain-containing protein 5
A6NEL2	Ankyrin repeat domain-containing protein SOWAHB
A6NEL3	Putative protein FAM86C2P
A6NEM1	Golgin subfamily A member 6-like protein 9
A6NEN9	Uncharacterized protein CXorf65
A6NEQ0	RNA-binding motif protein, Y chromosome, family 1 member E
A6NEQ2	Protein FAM181B
A6NER0	TBC1 domain family member 3F
A6NER3	G antigen 12J
A6NES4	Maestro heat-like repeat-containing protein family member 2A
A6NET4	Olfactory receptor 5K3
A6NEV1	Proline-rich protein 23A
A6NEW6	Putative protein FAM90A16P/FAM90A17P
A6NEY3	Putative golgin subfamily A member 6-like protein 3
A6NEY8	Putative prolyl-tRNA synthetase associated domain-containing protein 1
A6NF01	Putative nuclear envelope pore membrane protein POM 121B
A6NF34	Anthrax toxin receptor-like
A6NF36	Coiled-coil domain-containing protein 182
A6NF83	Nuclear protein 2
A6NF89	Olfactory receptor 6C6
A6NFA0	Protein FAM205C
A6NFA1	Metalloprotease TIKI2
A6NFC5	Transmembrane protein 235
A6NFC9	Putative olfactory receptor 2W5
A6NFD8	Hairy and enhancer of split-related protein HELT
A6NFE2	Single-pass membrane and coiled-coil domain-containing protein 2
A6NFE3	EF-hand calcium-binding domain-containing protein 10
A6NFF2	Putative nucleosome assembly protein 1-like 6
A6NFH5	Fatty acid-binding protein 12
A6NFI3	Zinc finger protein 316
A6NFK2	Glutaredoxin domain-containing cysteine-rich protein 2
A6NFN3	RNA binding protein fox-1 homolog 3
A6NFN9	Protein ANKUB1
A6NFQ2	TRPM8 channel-associated factor 2
A6NFQ7	Divergent paired-related homeobox
A6NFR6	Putative uncharacterized protein C5orf60
A6NFT4	Cilia- and flagella-associated protein 73
A6NFU0	Ig-like V-type domain-containing protein FAM187A
A6NFU8	Pyroglutamyl-peptidase 1-like protein
A6NFX1	Major facilitator superfamily domain-containing protein 2B
A6NFY4	Nuclear envelope integral membrane protein 2
A6NFY7	Succinate dehydrogenase assembly factor 1, mitochondrial
A6NFZ4	Protein FAM24A
A6NG13	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like protein MGAT4D
A6NGA9	Transmembrane protein 202
A6NGB0	Transmembrane protein 191C
A6NGB7	Transmembrane protein 221
A6NGB9	WAS/WASL-interacting protein family member 3
A6NGC4	TLC domain-containing protein 2
A6NGD5	Putative zinc finger and SCAN domain-containing protein 5C
A6NGE4	DDB1- and CUL4-associated factor 8-like protein 1
A6NGE7	Putative 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase
A6NGG3	Putative uncharacterized protein C9orf92
A6NGG8	Uncharacterized protein C2orf71
A6NGH7	Coiled-coil domain-containing protein 160
A6NGH8	Ankyrin repeat domain-containing protein 61
A6NGJ6	Tripartite motif-containing protein 64
A6NGK3	G antigen 10
A6NGN4	PRAME family member 25
A6NGN9	IgLON family member 5
A6NGQ2	Oocyte-expressed protein homolog
A6NGR9	Maestro heat-like repeat-containing protein family member 6
A6NGS2	Glutamate-rich protein 4
A6NGU5	Putative glutathione hydrolase 3 proenzyme
A6NGU7	Putative uncharacterized protein encoded by LINC01546
A6NGW2	Putative stereocilin-like protein
A6NGY1	Protein FRG2-like-2
A6NGY3	Uncharacterized protein C5orf52
A6NGY5	Olfactory receptor 51F1
A6NGZ8	Small integral membrane protein 9
A6NH00	Olfactory receptor 2T8
A6NH11	Glycolipid transfer protein domain-containing protein 2
A6NH13	Putative uncharacterized protein DNAJC9-AS1
A6NH21	Serine incorporator 4
A6NH52	Golgi apparatus membrane protein TVP23 homolog A
A6NH57	Putative ADP-ribosylation factor-like protein 5C
A6NHA9	Olfactory receptor 4C46
A6NHC0	Calpain-8
A6NHG4	D-dopachrome decarboxylase-like protein
A6NHG9	Olfactory receptor 5H14
A6NHJ4	Zinc finger protein 860
A6NHL2	Tubulin alpha chain-like 3
A6NHM9	Putative DBH-like monooxygenase protein 2
A6NHN0	Otolin-1
