Entry	Protein names	Gene names
Q9NZP6	Nuclear pore-associated protein 1	NPAP1 C15orf2
Q9UHC9	NPC1-like intracellular cholesterol transporter 1 (Niemann-Pick C1-like protein 1)	NPC1L1
Q04721	Neurogenic locus notch homolog protein 2 (Notch 2) (hN2) [Cleaved into: Notch 2 extracellular truncation (N2ECD); Notch 2 intracellular domain (N2ICD)]	NOTCH2
Q9UND3	Nuclear pore complex-interacting protein family member A1 (Nuclear pore complex-interacting protein) (NPIP)	NPIPA1 NPIP
E9PIF3	Nuclear pore complex-interacting protein family member A2	NPIPA2
Q92617	Nuclear pore complex-interacting protein family member B3 (Nuclear pore complex-interacting protein-like 3) (Protein pps22-1)	NPIPB3 KIAA0220 NPIPL3
C9JG80	Nuclear pore complex-interacting protein family member B4	NPIPB4
A8MRT5	Nuclear pore complex-interacting protein family member B5	NPIPB5
E9PJ23	Nuclear pore complex-interacting protein family member B6	NPIPB6
Q8NFA2	NADPH oxidase organizer 1 (NADPH oxidase regulatory protein) (Nox organizer 1) (Nox-organizing protein 1) (SH3 and PX domain-containing protein 5)	NOXO1 P41NOX SH3PXD5
Q86SE8	Nucleoplasmin-2	NPM2
O00624	Sodium-dependent phosphate transport protein 3 (Na(+)/PI cotransporter 3) (Sodium/phosphate cotransporter 3) (Solute carrier family 17 member 2)	SLC17A2 NPT3
Q15818	Neuronal pentraxin-1 (NP1) (Neuronal pentraxin I) (NP-I)	NPTX1
Q9UHY1	Nuclear receptor-binding protein	NRBP1 BCON3 NRBP
P49116	Nuclear receptor subfamily 2 group C member 2 (Orphan nuclear receptor TAK1) (Orphan nuclear receptor TR4) (Testicular receptor 4)	NR2C2 TAK1 TR4
O43847	Nardilysin (EC 3.4.24.61) (N-arginine dibasic convertase) (NRD convertase) (NRD-C) (Nardilysin convertase)	NRDC NRD1
Q16656	Nuclear respiratory factor 1 (NRF-1) (Alpha palindromic-binding protein) (Alpha-pal)	NRF1
Q16612	Neuronal regeneration-related protein (Neuronal protein 3.1) (Protein p311)	NREP C5orf13 P311
O14511	Pro-neuregulin-2, membrane-bound isoform (Pro-NRG2) [Cleaved into: Neuregulin-2 (NRG-2) (Divergent of neuregulin-1) (DON-1) (Neural- and thymus-derived activator for ERBB kinases) (NTAK)]	NRG2 NTAK
P54845	Neural retina-specific leucine zipper protein (NRL)	NRL D14S46E
Q9Y4C0	Neurexin-3 (Neurexin III-alpha) (Neurexin-3-alpha)	NRXN3 C14orf60 KIAA0743
Q9NXX6	Non-structural maintenance of chromosomes element 4 homolog A (NS4EA) (Non-SMC element 4 homolog A)	NSMCE4A C10orf86 PP4762
Q63ZY6	Putative methyltransferase NSUN5C (EC 2.1.1.-) (NOL1/NOP2/Sun domain family member 5C) (Williams-Beuren syndrome chromosomal region 20C protein)	NSUN5P2 NSUN5C WBSCR20B WBSCR20C
Q96IY1	Kinetochore-associated protein NSL1 homolog	NSL1 C1orf48 DC31 DC8 MIS14
Q96CB9	5-methylcytosine rRNA methyltransferase NSUN4 (EC 2.1.1.-) (NOL1/NOP2/Sun domain family member 4)	NSUN4
Q7Z3S9	Notch homolog 2 N-terminal-like protein	NOTCH2NL N2N
Q9H857	5'-nucleotidase domain-containing protein 2 (EC 3.1.3.-)	NT5DC2
Q86UY8	5'-nucleotidase domain-containing protein 3 (EC 3.1.3.-) (GRP94-neighboring nucleotidase)	NT5DC3 GNN TU12B1-TY
Q86YG4	5'-nucleotidase domain-containing protein 4	NT5DC4
Q9NPB1	5'(3')-deoxyribonucleotidase, mitochondrial (5',3'-nucleotidase, mitochondrial) (EC 3.1.3.-) (Deoxy-5'-nucleotidase 2) (dNT-2)	NT5M DNT2
Q14973	Sodium/bile acid cotransporter (Cell growth-inhibiting gene 29 protein) (Na(+)/bile acid cotransporter) (Na(+)/taurocholate transport protein) (Sodium/taurocholate cotransporting polypeptide) (Solute carrier family 10 member 1)	SLC10A1 NTCP GIG29
P61970	Nuclear transport factor 2 (NTF-2) (Placental protein 15) (PP15)	NUTF2 NTF2
Q08J23	tRNA (cytosine(34)-C(5))-methyltransferase (EC 2.1.1.203) (Myc-induced SUN domain-containing protein) (Misu) (NOL1/NOP2/Sun domain family member 2) (Substrate of AIM1/Aurora kinase B) (tRNA (cytosine-5-)-methyltransferase) (tRNA methyltransferase 4 homolog) (hTrm4)	NSUN2 SAKI TRM4
O95665	Neurotensin receptor type 2 (NT-R-2) (NTR2) (Levocabastine-sensitive neurotensin receptor)	NTSR2
Q12769	Nuclear pore complex protein Nup160 (160 kDa nucleoporin) (Nucleoporin Nup160)	NUP160 KIAA0197 NUP120
P35658	Nuclear pore complex protein Nup214 (214 kDa nucleoporin) (Nucleoporin Nup214) (Protein CAN)	NUP214 CAIN CAN KIAA0023
P03923	NADH-ubiquinone oxidoreductase chain 6 (EC 1.6.5.3) (NADH dehydrogenase subunit 6)	MT-ND6 MTND6 NADH6 ND6
Q14249	Endonuclease G, mitochondrial (Endo G) (EC 3.1.30.-)	ENDOG
Q9Y266	Nuclear migration protein nudC (Nuclear distribution protein C homolog)	NUDC
Q8N9H8	Exonuclease mut-7 homolog (EC 3.1.-.-) (Exonuclease 3'-5' domain-containing protein 3)	EXD3 HBE269
P53602	Diphosphomevalonate decarboxylase (EC 4.1.1.33) (Mevalonate (diphospho)decarboxylase) (MDDase) (Mevalonate pyrophosphate decarboxylase)	MVD MPD
Q96S97	Myeloid-associated differentiation marker (Protein SB135)	MYADM UNQ553/PRO1110
O75592	E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.-) (Myc-binding protein 2) (Protein associated with Myc)	MYCBP2 KIAA0916 PAM
P10242	Transcriptional activator Myb (Proto-oncogene c-Myb)	MYB
P01106	Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64)	MYC BHLHE39
P10243	Myb-related protein A (A-Myb) (Myb-like protein 1)	MYBL1 AMYB
P12882	Myosin-1 (Myosin heavy chain 1) (Myosin heavy chain 2x) (MyHC-2x) (Myosin heavy chain IIx/d) (MyHC-IIx/d) (Myosin heavy chain, skeletal muscle, adult 1)	MYH1
P12829	Myosin light chain 4 (Myosin light chain 1, embryonic muscle/atrial isoform) (Myosin light chain alkali GT-1 isoform)	MYL4 MLC1 PRO1957
Q02045	Myosin light chain 5 (Myosin regulatory light chain 5) (Superfast myosin regulatory light chain 2) (MYLC2) (MyLC-2)	MYL5
P14649	Myosin light chain 6B (Myosin light chain 1 slow-twitch muscle A isoform) (MLC1sa) (Smooth muscle and nonmuscle myosin light chain alkali 6B)	MYL6B MLC1SA
P24844	Myosin regulatory light polypeptide 9 (20 kDa myosin light chain) (LC20) (MLC-2C) (Myosin RLC) (Myosin regulatory light chain 2, smooth muscle isoform) (Myosin regulatory light chain 9) (Myosin regulatory light chain MRLC1)	MYL9 MLC2 MRLC1 MYRL2
Q8WY64	E3 ubiquitin-protein ligase MYLIP (EC 2.3.2.27) (Inducible degrader of the LDL-receptor) (Idol) (Myosin regulatory light chain interacting protein) (MIR) (RING-type E3 ubiquitin transferase MYLIP)	MYLIP BZF1 IDOL BM-023 PP5242
P13535	Myosin-8 (Myosin heavy chain 8) (Myosin heavy chain, skeletal muscle, perinatal) (MyHC-perinatal)	MYH8
O94832	Unconventional myosin-Id	MYO1D KIAA0727
P35579	Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)	MYH9
Q86YV6	Myosin light chain kinase family member 4 (EC 2.7.11.1) (Sugen kinase 85) (SgK085)	MYLK4 SGK085
Q9UKX3	Myosin-13 (Myosin heavy chain 13) (Myosin heavy chain, skeletal muscle, extraocular) (MyHC-EO) (Myosin heavy chain, skeletal muscle, laryngeal) (MyHC-IIL) (Superfast myosin)	MYH13
Q13459	Unconventional myosin-IXb (Unconventional myosin-9b)	MYO9B MYR5
P28698	Myeloid zinc finger 1 (MZF-1) (Zinc finger and SCAN domain-containing protein 6) (Zinc finger protein 42)	MZF1 MZF ZNF42 ZSCAN6
Q9Y2G1	Myelin regulatory factor (EC 3.4.-.-) (Myelin gene regulatory factor) [Cleaved into: Myelin regulatory factor, N-terminal; Myelin regulatory factor, C-terminal]	MYRF C11orf9 KIAA0954 MRF
Q96BF6	Nucleus accumbens-associated protein 2 (NAC-2) (BTB/POZ domain-containing protein 14A) (Repressor with BTB domain and BEN domain)	NACC2 BTBD14A NAC2 RBB
Q6IA69	Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing]) (NAD(+) synthetase)	NADSYN1
P17050	Alpha-N-acetylgalactosaminidase (EC 3.2.1.49) (Alpha-galactosidase B)	NAGA
Q8N159	N-acetylglutamate synthase, mitochondrial (EC 2.3.1.1) (Amino-acid acetyltransferase) [Cleaved into: N-acetylglutamate synthase long form; N-acetylglutamate synthase short form; N-acetylglutamate synthase conserved domain form]	NAGS
Q86W28	NACHT, LRR and PYD domains-containing protein 8 (Nucleotide-binding oligomerization domain protein 16) (PYRIN and NACHT-containing protein 4)	NLRP8 NALP8 NOD16 PAN4
Q86W25	NACHT, LRR and PYD domains-containing protein 13 (Nucleotide-binding oligomerization domain protein 14)	NLRP13 NALP13 NOD14
Q9Y3Q0	N-acetylated-alpha-linked acidic dipeptidase 2 (EC 3.4.17.21) (Glutamate carboxypeptidase III) (GCPIII) (N-acetylated-alpha-linked acidic dipeptidase II) (NAALADase II)	NAALAD2
Q96L15	Ecto-ADP-ribosyltransferase 5 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 5) (ARTC5) (Mono(ADP-ribosyl)transferase 5) (NAD(P)(+)--arginine ADP-ribosyltransferase 5)	ART5 UNQ575/PRO1137
P52961	GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 1) (ARTC1) (Mono(ADP-ribosyl)transferase 1) (CD antigen CD296)	ART1
Q9UHQ1	Nuclear prelamin A recognition factor (Iron-only hydrogenase-like protein 2) (IOP2)	NARF
Q8IVL0	Neuron navigator 3 (Pore membrane and/or filament-interacting-like protein 1) (Steerin-3) (Unc-53 homolog 3) (unc53H3)	NAV3 KIAA0938 POMFIL1 STEERIN3
Q9H0A0	RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase) (N-acetyltransferase 10)	NAT10 ALP KIAA1709
P0DPF2	Neuroblastoma breakpoint family member 20	NBPF20
Q14596	Next to BRCA1 gene 1 protein (Cell migration-inducing gene 19 protein) (Membrane component chromosome 17 surface marker 2) (Neighbor of BRCA1 gene 1 protein) (Protein 1A1-3B)	NBR1 1A13B KIAA0049 M17S2 MIG19
Q8N8M0	Probable N-acetyltransferase 16 (EC 2.3.1.-)	NAT16 C7orf52
Q14919	Dr1-associated corepressor (Dr1-associated protein 1) (Negative cofactor 2-alpha) (NC2-alpha)	DRAP1
Q96M43	Neuroblastoma breakpoint family member 4	NBPF4
Q86XG9	Putative neuroblastoma breakpoint family member 5	NBPF5P NBPF5
A2RRP1	Neuroblastoma-amplified sequence (Neuroblastoma-amplified gene protein)	NBAS NAG
Q6ZS30	Neurobeachin-like protein 1 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 16 protein) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 17 protein)	NBEAL1 ALS2CR16 ALS2CR17
Q6PIU2	Neutral cholesterol ester hydrolase 1 (NCEH) (EC 3.1.1.-) (Arylacetamide deacetylase-like 1)	NCEH1 AADACL1 KIAA1363
Q53F19	Nuclear cap-binding protein subunit 3 (Protein ELG)	NCBP3 C17orf85
A8MVU1	Putative neutrophil cytosol factor 1C (NCF-1C) (Putative SH3 and PX domain-containing protein 1C)	NCF1C SH3PXD1C
P14598	Neutrophil cytosol factor 1 (NCF-1) (47 kDa autosomal chronic granulomatous disease protein) (47 kDa neutrophil oxidase factor) (NCF-47K) (Neutrophil NADPH oxidase factor 1) (Nox organizer 2) (Nox-organizing protein 2) (SH3 and PX domain-containing protein 1A) (p47-phox)	NCF1 NOXO2 SH3PXD1A
P16333	Cytoplasmic protein NCK1 (NCK adaptor protein 1) (Nck-1) (SH2/SH3 adaptor protein NCK-alpha)	NCK1 NCK
O14931	Natural cytotoxicity triggering receptor 3 (Activating natural killer receptor p30) (Natural killer cell p30-related protein) (NK-p30) (NKp30) (CD antigen CD337)	NCR3 1C7 LY117
Q13562	Neurogenic differentiation factor 1 (NeuroD) (NeuroD1) (Class A basic helix-loop-helix protein 3) (bHLHa3)	NEUROD1 BHLHA3 NEUROD
Q15784	Neurogenic differentiation factor 2 (NeuroD2) (Class A basic helix-loop-helix protein 1) (bHLHa1) (NeuroD-related factor) (NDRF)	NEUROD2 BHLHA1 NDRF
P23515	Oligodendrocyte-myelin glycoprotein	OMG OMGP
O43929	Origin recognition complex subunit 4	ORC4 ORC4L
Q8NG78	Olfactory receptor 8G5 (Olfactory receptor 8G6) (Olfactory receptor OR11-298)	OR8G5 OR8G5P OR8G6
Q53FV1	ORM1-like protein 2 (Adoplin-2)	ORMDL2 HSPC160 MSTP095
Q8TAX0	Protein odd-skipped-related 1	OSR1 ODD
Q9H4L5	Oxysterol-binding protein-related protein 3 (ORP-3) (OSBP-related protein 3)	OSBPL3 KIAA0704 ORP3 OSBP3
Q9UJX0	Oxidative stress-induced growth inhibitor 1 (Ovary, kidney and liver protein 38) (huOKL38) (Pregnancy-induced growth inhibitor OKL38)	OSGIN1 OKL38
P02818	Osteocalcin (Bone Gla protein) (BGP) (Gamma-carboxyglutamic acid-containing protein)	BGLAP
Q86UW2	Organic solute transporter subunit beta (OST-beta) (Solute carrier family 51 subunit beta)	SLC51B OSTB
P61366	Osteocrin (Musclin) [Cleaved into: Processed Osteocrin]	OSTN
Q7RTM1	Proton channel OTOP1 (Otopetrin-1) (hOtop1)	OTOP1
Q5XKR4	Homeobox protein orthopedia	OTP
Q8TE49	OTU domain-containing protein 7A (EC 3.4.19.12) (Zinc finger protein Cezanne 2)	OTUD7A C15orf16 CEZANNE2 OTUD7
Q96FW1	Ubiquitin thioesterase OTUB1 (EC 3.4.19.12) (Deubiquitinating enzyme OTUB1) (OTU domain-containing ubiquitin aldehyde-binding protein 1) (Otubain-1) (hOTU1) (Ubiquitin-specific-processing protease OTUB1)	OTUB1 OTB1 OTU1 HSPC263
Q7RTY7	Ovochymase-1 (EC 3.4.21.-)	OVCH1
P83859	Orexigenic neuropeptide QRFP (P518) [Cleaved into: QRF-amide (Neuropeptide RF-amide) (Pyroglutamylated arginine-phenylalanine-amide peptide)]	QRFP
P41217	OX-2 membrane glycoprotein (CD antigen CD200)	CD200 MOX1 MOX2 My033
O14753	Putative transcription factor Ovo-like 1 (hOvo1)	OVOL1
Q96P68	2-oxoglutarate receptor 1 (Alpha-ketoglutarate receptor 1) (G-protein coupled receptor 80) (G-protein coupled receptor 99) (P2Y purinoceptor 15) (P2Y15) (P2Y-like GPCR) (P2Y-like nucleotide receptor)	OXGR1 GPR80 GPR99 P2RY15 P2Y15
O00110	Putative transcription factor ovo-like protein 3	OVOL3
Q96HA1	Nuclear envelope pore membrane protein POM 121 (Nuclear envelope pore membrane protein POM 121A) (Nucleoporin Nup121) (Pore membrane protein of 121 kDa)	POM121 KIAA0618 NUP121 POM121A
A8MW92	PHD finger protein 20-like protein 1	PHF20L1 CGI-72
P56373	P2X purinoceptor 3 (P2X3) (ATP receptor) (Purinergic receptor)	P2RX3
O00750	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (PI3K-C2-beta) (PtdIns-3-kinase C2 subunit beta) (EC 2.7.1.154) (C2-PI3K) (Phosphoinositide 3-kinase-C2-beta)	PIK3C2B
Q9Y5P8	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta (PP2A subunit B isoform PR48) (Protein phosphatase 2A 48 kDa regulatory subunit)	PPP2R3B PPP2R3L
Q969Q6	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma (Protein phosphatase subunit G5PR) (Rhabdomyosarcoma antigen MU-RMS-40.6A/6C)	PPP2R3C C14orf10 G5PR
P41231	P2Y purinoceptor 2 (P2Y2) (ATP receptor) (P2U purinoceptor 1) (P2U1) (P2U receptor 1) (Purinergic receptor)	P2RY2 P2RU1
Q8TCG2	Phosphatidylinositol 4-kinase type 2-beta (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-beta) (PI4KII-BETA)	PI4K2B
Q96FE7	Phosphoinositide-3-kinase-interacting protein 1 (Kringle domain-containing protein HGFL)	PIK3IP1 HGFL
Q86VZ1	P2Y purinoceptor 8 (P2Y8)	P2RY8
Q9NXG6	Transmembrane prolyl 4-hydroxylase (P4H-TM) (EC 1.14.11.-) (Hypoxia-inducible factor prolyl hydroxylase 4) (HIF-PH4) (HIF-prolyl hydroxylase 4) (HPH-4)	P4HTM PH4
Q6IN85	Serine/threonine-protein phosphatase 4 regulatory subunit 3A (SMEK homolog 1)	PPP4R3A KIAA2010 PP4R3A SMEK1 MSTP033
Q5MIZ7	Serine/threonine-protein phosphatase 4 regulatory subunit 3B (SMEK homolog 2)	PPP4R3B KIAA1387 PP4R3B SMEK2
P54886	Delta-1-pyrroline-5-carboxylate synthase (P5CS) (Aldehyde dehydrogenase family 18 member A1) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]	ALDH18A1 GSAS P5CS PYCS
Q53H96	Pyrroline-5-carboxylate reductase 3 (P5C reductase 3) (P5CR 3) (EC 1.5.1.2) (Pyrroline-5-carboxylate reductase-like protein)	PYCR3 PYCRL
Q9UQ80	Proliferation-associated protein 2G4 (Cell cycle protein p38-2G4 homolog) (hG4-1) (ErbB3-binding protein 1)	PA2G4 EBP1
Q9BRP4	Proteasomal ATPase-associated factor 1 (Protein G-16) (WD repeat-containing protein 71)	PAAF1 WDR71
Q9NZK7	Group IIE secretory phospholipase A2 (GIIE sPLA2) (sPLA2-IIE) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 2E)	PLA2G2E
Q9BZM2	Group IIF secretory phospholipase A2 (GIIF sPLA2) (sPLA2-IIF) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 2F)	PLA2G2F
Q86U42	Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2) (Nuclear poly(A)-binding protein 1) (Poly(A)-binding protein II) (PABII) (Polyadenylate-binding nuclear protein 1)	PABPN1 PAB2 PABP2
Q13310	Polyadenylate-binding protein 4 (PABP-4) (Poly(A)-binding protein 4) (Activated-platelet protein 1) (APP-1) (Inducible poly(A)-binding protein) (iPABP)	PABPC4 APP1 PABP4
P18509	Pituitary adenylate cyclase-activating polypeptide (PACAP) [Cleaved into: PACAP-related peptide (PRP-48); Pituitary adenylate cyclase-activating polypeptide 27 (PACAP-27) (PACAP27); Pituitary adenylate cyclase-activating polypeptide 38 (PACAP-38) (PACAP38)]	ADCYAP1
Q9ULW8	Protein-arginine deiminase type-3 (EC 3.5.3.15) (Peptidylarginine deiminase III) (Protein-arginine deiminase type III)	PADI3 PAD3 PDI3
Q99487	Platelet-activating factor acetylhydrolase 2, cytoplasmic (EC 3.1.1.47) (Serine-dependent phospholipase A2) (SD-PLA2) (hSD-PLA2)	PAFAH2
O75459	P antigen family member 1 (PAGE-1) (AL5) (G antigen 9) (GAGE-9) (G antigen family B member 1) (Prostate-associated gene 1 protein)	PAGE1 GAGE9 GAGEB1
Q5JUK9	P antigen family member 3 (PAGE-3) (G antigen family D member 1) (Prostate-associated gene 3 protein)	PAGE3 GAGED1
Q86VP3	Phosphofurin acidic cluster sorting protein 2 (PACS-2) (PACS1-like protein)	PACS2 KIAA0602 PACS1L
Q13093	Platelet-activating factor acetylhydrolase (PAF acetylhydrolase) (EC 3.1.1.47) (1-alkyl-2-acetylglycerophosphocholine esterase) (2-acetyl-1-alkylglycerophosphocholine esterase) (Group-VIIA phospholipase A2) (gVIIA-PLA2) (LDL-associated phospholipase A2) (LDL-PLA(2)) (PAF 2-acylhydrolase)	PLA2G7 PAFAH
Q9BTK6	PAXIP1-associated glutamate-rich protein 1 (Glutamate-rich coactivator interacting with SRC1) (GAS) (PAXIP1-associated protein 1) (PTIP-associated protein 1)	PAGR1 C16orf53 PA1
P01298	Pancreatic prohormone (Pancreatic polypeptide) (PP) (Obinepitide) [Cleaved into: Pancreatic hormone (PH); Pancreatic icosapeptide (PI)]	PPY PNP
O96013	Serine/threonine-protein kinase PAK 4 (EC 2.7.11.1) (p21-activated kinase 4) (PAK-4)	PAK4 KIAA1142
Q9P286	Serine/threonine-protein kinase PAK 5 (EC 2.7.11.1) (p21-activated kinase 5) (PAK-5) (p21-activated kinase 7) (PAK-7)	PAK5 KIAA1264 PAK7
Q8WX93	Palladin (SIH002) (Sarcoma antigen NY-SAR-77)	PALLD KIAA0992 CGI-151
O75781	Paralemmin-1 (Paralemmin)	PALM KIAA0270
O14832	Phytanoyl-CoA dioxygenase, peroxisomal (EC 1.14.11.18) (Phytanic acid oxidase) (Phytanoyl-CoA alpha-hydroxylase) (PhyH)	PHYH PAHX
I0J062	Proapoptotic nucleolar protein 1	PANO1 PANO
Q9NVV4	Poly(A) RNA polymerase, mitochondrial (PAP) (EC 2.7.7.19) (PAP-associated domain-containing protein 1) (Polynucleotide adenylyltransferase) (Terminal uridylyltransferase 1) (TUTase 1) (mtPAP)	MTPAP PAPD1
